Name,ediSONPortCode,ModeOfTransport,CountryCode,LocationDescription,Enabled
MVMLE,MLEMV,SEA,MV,MALE,Y
MXATM,ATMMX,SEA,MX,ALTAMIRA,Y
MXESE,ESEMX,SEA,MX,ENSENADA,Y
MXGYM,GYMMX,SEA,MX,GUAYMAS,Y
MXLZC,LZCMX,SEA,MX,LAZARO CARDENAS,Y
MXPGO,PGOMX,SEA,MX,PROGRESO,Y
MXPMS,PMSMX,SEA,MX,PUERTO MORELOS,Y
MXVER,VERMX,SEA,MX,VERACRUZ,Y
MXZLO,ZLOMX,SEA,MX,"MANZANILLO,MX",Y
MYBKI,BKIMY,SEA,MY,"KOTA KINABALU, SABAH",Y
MYBTU,BTUMY,SEA,MY,"BINTULU, SARAWAK",Y
MYKCH,KCHMY,SEA,MY,"KUCHING, SARAWAK",Y
MYPEN,PENMY,SEA,MY,PENANG,Y
MYPGU,PGUMY,SEA,MY,PASIR GUDANG,Y
MYPKG,PKGMY,SEA,MY,PORT KLANG,Y
MYSDK,SDKMY,SEA,MY,"SANDAKAN, SABAH",Y
MYTPP,TPPMY,SEA,MY,PELABUHAN TANJUNG PELEPAS,Y
MYTWU,TWUMY,SEA,MY,"TAWAU, SABAH",Y
MZBEW,BEWMZ,SEA,MZ,BEIRA,Y
NALUD,LUDNA,SEA,NA,LUDERITZ,Y
NAWVB,WVBNA,SEA,NA,WALVIS BAY,Y
NGAPP,APPNG,SEA,NG,APAPA,Y
NGONN,ONNNG,SEA,NG,ONNE,Y
NGTIN,TINNG,SEA,NG,TIN CAN ISLAND,Y
NICIO,CIONI,SEA,NI,CORINTO,Y
NIMNG,MNGNI,SEA,NI,MANAGUA,Y
NLRTM,RTMNL,SEA,NL,ROTTERDAM,Y
NOAES,AESNO,SEA,NO,AALESUND,Y
NOBGO,BGONO,SEA,NO,"BERGEN,NO",Y
NODRM,DRMNO,SEA,NO,DRMNO,Y
NOFRK,FRKNO,SEA,NO,FREDRIKSTAD,Y
NOFUS,FUSNO,SEA,NO,FUSA,Y
NOKRS,KRSNO,SEA,NO,KRISTIANSAND,Y
NOLAR,LARNO,SEA,NO,LARVIK,Y
NOMAY,MAYNO,SEA,NO,MAALOEY,Y
NOMSS,MSSNO,SEA,NO,MOSS,Y
NOOSL,OSLNO,SEA,NO,OSLO,Y
NOSVG,SVGNO,SEA,NO,STAVANGER,Y
NOTRD,TRDNO,SEA,NO,TRONDHEIM,Y
NZAKL,AKLNZ,SEA,NZ,AUCKLAND,Y
NZLYT,LYTNZ,SEA,NZ,LYTTELTON,Y
NZNPE,NPENZ,SEA,NZ,NAPIER,Y
NZTRG,TRGNZ,SEA,NZ,TAURANGA,Y
NZWLG,WLGNZ,SEA,NZ,WELLINGTON,Y
OMDQM,DQMOM,SEA,OM,PORT OF DUQM,Y
OMSLL,SLLOM,SEA,OM,SALALAH,Y
OMSOH,SOHOM,SEA,OM,SOHAR,Y
PABLB,BLBPA,SEA,PA,BALBOA,Y
PACFZ,CFZPA,SEA,PA,COLON FREE ZONE,Y
PACTB,CTBPA,SEA,PA,CRISTOBAL,Y
PAMIT,MITPA,SEA,PA,"MANZANILLO,PA",Y
PAONX,ONXPA,SEA,PA,"COLON, PA",Y
PAPTY,PTYPA,SEA,PA,PANAMA CITY,Y
PAROD,RODPA,SEA,PA,RODMAN,Y
PECLL,CLLPE,SEA,PE,CALLAO,Y
PHBTG,BTGPH,SEA,PH,"BATANGAS, LUZON",Y
PHCEB,CEBPH,SEA,PH,CEBU CITY,Y
PHCGY,CGYPH,SEA,PH,"CAGAYAN DE ORO, MINDANAO",Y
PHDVO,DVOPH,SEA,PH,DAVAO,Y
PHGES,GESPH,SEA,PH,GENERAL SANTOS CITY DADIANGAS,Y
PHMNL,MNLPH,SEA,PH,MANILA,Y
PHPAN,PANPH,SEA,PH,PANABO CITY,Y
PHSFS,SFSPH,SEA,PH,SUBIC BAY,Y
PHXXX,XXXPH,SEA,PH,PHILIPPINES BASELINE,Y
PKBQM,BQMPK,SEA,PK,PORT QASIM,Y
PKKHI,KHIPK,SEA,PK,KARACHI,Y
PLGDN,GDNPL,SEA,PL,GDANSK,Y
PLGDY,GDYPL,SEA,PL,GDYNIA,Y
PLSZZ,SZZPL,SEA,PL,SZCZECIN,Y
PRSJU,SJUPR,SEA,PR,SAN JUAN,Y
PTBBL,BBLPT,SEA,PT,BOBADELA,Y
PTLEI,LEIPT,SEA,PT,LEIXOES,Y
PTLIS,LISPT,SEA,PT,LISBON,Y
PTSIE,SIEPT,SEA,PT,SINES,Y
PTVIC,VICPT,SEA,PT,VILA DO CONDE,Y
PTXXX,XXXPT,SEA,PT,PORTUGAL BASELINE,Y
PYASU,ASUPY,SEA,PY,ASUNCION,Y
PYBCM,BCMPY,SEA,PY,BARRIO CAACUPE MI,Y
PYFNX,FNXPY,SEA,PY,FENIX,Y
PYMRA,MRAPY,SEA,PY,COLONIA MARIANO ROQUE ALONSO,Y
PYPIL,PILPY,SEA,PY,PILAR,Y
PYTER,TERPY,SEA,PY,TERPORT,Y
PYVLL,VLLPY,SEA,PY,VILLETA,Y
QADOH,DOHQA,SEA,QA,DOHA,Y
QAHMD,HMDQA,SEA,QA,HAMAD,Y
ROCND,CNDRO,SEA,RO,CONSTANTA,Y
RUAZO,AZORU,SEA,RU,AZOV,Y
RUDZV,DZVRU,SEA,RU,DALZAVOD,Y
RUFPT,FPTRU,SEA,RU,FISH PORT TERMINAL,Y
RUGDX,GDXRU,SEA,RU,MAGADAN,Y
RUKGD,KGDRU,SEA,RU,KALININGRAD,Y
RUKOR,KORRU,SEA,RU,KORSAKOV,Y
RULE1,LE1RU,SEA,RU,"ST PETERSBURG,RU",Y
RULED,LEDRU,SEA,RU,"ST PETERSBURG FCT,RU",Y
RUNVS,NVSRU,SEA,RU,NOVOROSSIYSK,Y
RUULU,ULURU,SEA,RU,UST LUGA,Y
RUVVO,VVORU,SEA,RU,VLADIVOSTOK,Y
RUVYP,VYPRU,SEA,RU,"VOSTOCHNIY, PORT",Y
SADMN,DMNSA,SEA,SA,DAMMAM,Y
SAJBI,JBISA,SEA,SA,AL JUBAYL,Y
SAJED,JEDSA,SEA,SA,JEDDAH,Y
SAJUB,JUBSA,SEA,SA,JUBAIL,Y
SAKAC,KACSA,SEA,SA,KING ABDULLAH PORT,Y
SARUH,RUHSA,SEA,SA,RIYADH,Y
SDPZU,PZUSD,SEA,SD,PORT SUDAN,Y
SEGOT,GOTSE,SEA,SE,GOTHENBURG,Y
SEGVX,GVXSE,SEA,SE,GAEVLE,Y
SEHAD,HADSE,SEA,SE,HALMSTAD,Y
SEHEL,HELSE,SEA,SE,HELSINGBORG,Y
SENRK,NRKSE,SEA,SE,NORRKOEPING,Y
SESOE,SOESE,SEA,SE,SOEDERTAELJE,Y
SESTO,STOSE,SEA,SE,STOCKHOLM,Y
SGSIN,SINSG,SEA,SG,SINGAPORE,Y
SIKOP,KOPSI,SEA,SI,KOPER,Y
SKBTS,BTSSK,SEA,SK,BRATISLAVA,Y
SLFNA,FNASL,SEA,SL,FREETOWN,Y
SNDKR,DKRSN,SEA,SN,DAKAR,Y
SRPBM,PBMSR,SEA,SR,PARAMARIBO,Y
SVAQJ,AQJSV,SEA,SV,ACAJUTLA,Y
SVSTO,STOSV,SEA,SV,SANTO TOMAS,Y
SYLTK,LTKSY,SEA,SY,LATAKIA,Y
SYTTS,TTSSY,SEA,SY,TARTUS,Y
TGLFW,LFWTG,SEA,TG,LOME,Y
THBKK,BKKTH,SEA,TH,BANGKOK,Y
THLCH,LCHTH,SEA,TH,LAEM CHABANG,Y
THLKR,LKRTH,SEA,TH,LAT KRABANG,Y
THSCS,SCSTH,SEA,TH,SAHATHAI,Y
THSGZ,SGZTH,SEA,TH,SONGKHLA,Y
TNBIZ,BIZTN,SEA,TN,BIZERTE,Y
TNRDS,RDSTN,SEA,TN,RADES,Y
TNSFA,SFATN,SEA,TN,SFAX,Y
TNSUS,SUSTN,SEA,TN,SOUSSE,Y
TNTUN,TUNTN,SEA,TN,TUNIS,Y
TRALI,ALITR,SEA,TR,ALIAGA,Y
TRAYT,AYTTR,SEA,TR,ANTALYA,Y
TREYP,EYPTR,SEA,TR,EVYAP,Y
TRGEB,GEBTR,SEA,TR,GEBZE,Y
TRGEM,GEMTR,SEA,TR,GEMLIK,Y
TRHAY,HAYTR,SEA,TR,HAYDARPASA,Y
TRISK,ISKTR,SEA,TR,ISKENDERUN,Y
TRIST,ISTTR,SEA,TR,ISTANBUL,Y
TRIZI,IZITR,SEA,TR,IZMIT KORFEZI,Y
TRIZM,IZMTR,SEA,TR,IZMIR,Y
TRIZT,IZTTR,SEA,TR,IZMIT,Y
TRKMX,KMXTR,SEA,TR,KUMPORT,Y
TRMER,MERTR,SEA,TR,MERSIN,Y
TRMPT,MPTTR,SEA,TR,MARPORT,Y
TRPAM,PAMTR,SEA,TR,AMBARLI PORT ISTANBUL,Y
TRTEK,TEKTR,SEA,TR,TEKIRDAG,Y
TRYAR,YARTR,SEA,TR,YARIMCA,Y
TTPOS,POSTT,SEA,TT,PORT OF SPAIN,Y
TTPTS,PTSTT,SEA,TT,POINT LISAS,Y
